"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\providers\general_provider.dart", "Dart", 18, -29, 23, 12
"c:\Users\mehme\OneDrive\Belgeler\GitHub\armcontrol\lib\screens\function_details_screen.dart", "Dart", 35, -9, 0, 26
"Total", "-", 53, -38, 23, 38
